date,hometeam,awayteam,fthg,ftag,hs,as,hst,ast,hc,ac,match_result,result_numeric,goal_difference,total_goals,season,league,Date_x,home_form_5,home_avg_goals_scored_5,home_avg_goals_conceded_5,home_avg_gd_5,home_win_streak,home_unbeaten_streak,Date_y,away_form_5,away_avg_goals_scored_5,away_avg_goals_conceded_5,away_avg_gd_5,away_win_streak,away_unbeaten_streak,form_diff,gd_diff,win_streak_diff,form_ratio,gd_ratio,home_advantage_form,momentum_indicator
2018-09-25,Werder Bremen,Hertha,3,1,14.0,12.0,6.0,2.0,2.0,3.0,H,1,2,4,2019,Bundesliga 2018 ,2018-09-25,0.0,1.75,1.25,0.0,0,0,2018-09-25,0.0,2.25,1.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-26,Dortmund,Nurnberg,7,0,19.0,4.0,10.0,1.0,4.0,5.0,H,1,7,7,2019,Bundesliga 2018 ,2018-09-26,0.0,2.0,0.75,0.0,0,0,2018-09-26,0.0,1.0,0.75,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-26,Fortuna Dusseldorf,Leverkusen,1,2,16.0,6.0,4.0,3.0,7.0,5.0,A,2,-1,3,2019,Bundesliga 2018 ,2018-09-26,0.0,1.0,1.0,0.0,0,0,2018-09-26,0.0,0.75,2.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-26,Mainz,Wolfsburg,0,0,11.0,12.0,2.0,4.0,5.0,11.0,D,0,0,0,2019,Bundesliga 2018 ,2018-09-26,0.0,1.0,0.75,0.0,0,0,2018-09-26,0.0,2.0,1.75,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-26,M'gladbach,Ein Frankfurt,3,1,21.0,12.0,9.0,2.0,9.0,6.0,H,1,2,4,2019,Bundesliga 2018 ,2018-09-26,0.0,1.75,1.5,0.0,0,0,2018-09-26,0.0,1.25,1.5,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-26,RB Leipzig,Stuttgart,2,0,18.0,9.0,8.0,0.0,4.0,2.0,H,1,2,2,2019,Bundesliga 2018 ,2018-09-26,0.0,1.5,2.0,0.0,0,0,2018-09-26,0.0,0.75,1.75,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-28,Hertha,Bayern Munich,2,0,6.0,25.0,4.0,5.0,1.0,14.0,H,1,2,2,2019,Bundesliga 2018 ,2018-09-28,0.0,2.0,1.4,0.0,0,0,2018-09-28,0.0,2.4,0.6,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-29,Hoffenheim,RB Leipzig,1,2,13.0,18.0,6.0,7.0,4.0,8.0,A,2,-1,3,2019,Bundesliga 2018 ,2018-09-29,0.0,1.8,1.6,0.0,0,0,2018-09-29,0.0,1.6,1.6,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-29,Leverkusen,Dortmund,2,4,14.0,16.0,6.0,10.0,6.0,8.0,A,2,-2,6,2019,Bundesliga 2018 ,2018-09-29,0.0,1.0,1.8,0.0,0,0,2018-09-29,0.0,3.0,0.6,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-29,Nurnberg,Fortuna Dusseldorf,3,0,10.0,13.0,6.0,4.0,4.0,4.0,H,1,3,3,2019,Bundesliga 2018 ,2018-09-29,0.0,0.8,2.0,0.0,0,0,2018-09-29,0.0,1.0,1.2,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-29,Schalke 04,Mainz,1,0,15.0,15.0,2.0,5.0,4.0,5.0,H,1,1,1,2019,Bundesliga 2018 ,2018-09-29,0.0,0.4,1.8,0.0,0,0,2018-09-29,0.0,0.8,0.6,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-29,Stuttgart,Werder Bremen,2,1,18.0,14.0,5.0,3.0,6.0,8.0,H,1,1,3,2019,Bundesliga 2018 ,2018-09-29,0.0,0.6,1.8,0.0,0,0,2018-09-29,0.0,2.0,1.2,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-29,Wolfsburg,M'gladbach,2,2,13.0,10.0,3.0,3.0,6.0,3.0,D,0,0,4,2019,Bundesliga 2018 ,2018-09-29,0.0,1.6,1.4,0.0,0,0,2018-09-29,0.0,2.0,1.4,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-30,Augsburg,Freiburg,4,1,21.0,13.0,10.0,6.0,5.0,3.0,H,1,3,5,2019,Bundesliga 2018 ,2018-09-30,0.0,1.4,1.6,0.0,0,0,2018-09-30,0.0,1.6,1.8,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-30,Ein Frankfurt,Hannover,4,1,15.0,4.0,7.0,1.0,3.0,4.0,H,1,3,5,2019,Bundesliga 2018 ,2018-09-30,0.0,1.2,1.8,0.0,0,0,2018-09-30,0.0,0.8,1.8,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-10-05,Werder Bremen,Wolfsburg,2,0,15.0,10.0,5.0,4.0,7.0,5.0,H,1,2,2,2019,Bundesliga 2018 ,2018-10-05,0.0,2.0,1.4,0.0,0,0,2018-10-05,0.0,1.6,1.6,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-10-06,Bayern Munich,M'gladbach,0,3,14.0,7.0,3.0,3.0,1.0,3.0,A,2,-3,3,2019,Bundesliga 2018 ,2018-10-06,0.0,1.8,0.8,0.0,0,0,2018-10-06,0.0,2.0,1.8,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-10-06,Dortmund,Augsburg,4,3,20.0,12.0,8.0,6.0,9.0,6.0,H,1,1,7,2019,Bundesliga 2018 ,2018-10-06,0.0,3.0,0.8,0.0,0,0,2018-10-06,0.0,1.8,1.6,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-10-06,Fortuna Dusseldorf,Schalke 04,0,2,9.0,15.0,3.0,5.0,4.0,6.0,A,2,-2,2,2019,Bundesliga 2018 ,2018-10-06,0.0,0.8,1.4,0.0,0,0,2018-10-06,0.0,0.4,1.4,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
